591106.125	1138064
591145.1875	1138064
591185.875	1138064
591226.3125	1138064
591266.3125	1138064
591306.875	1138064
591348	1138064
582249.625	1142744
582261	1142707
582272.1875	1142670
582283.375	1142633
582294.625	1142597
582305.625	1142559
582316.625	1142521
582327.625	1142483
582339.125	1142445
582350.625	1142407
582362.125	1142370
582373.5	1142331
582385.3125	1142293
582396.8125	1142255
582408.625	1142217
582420.1875	1142179
582431.8125	1142141
582443.625	1142103
582455.3125	1142065
582466.875	1142027
582478.8125	1141989
582491.125	1141952
582503.375	1141914
582516.125	1141876
582528.6875	1141837
582541.625	1141799
582555.125	1141761
582568.375	1141723
582582.625	1141685
582596.625	1141648
582611	1141611
582625.8125	1141574
582640.8125	1141539
582655.875	1141502
582671.5	1141466
582687.375	1141430
582703.625	1141393
582720.125	1141357
582736.625	1141320
582753.3125	1141284
582769.625	1141247
582786.375	1141210
582803.625	1141173
582821.125	1141136
582839.125	1141099
582857.3125	1141062
582875.8125	1141026
582893.8125	1140989
582911.5	1140952
582928.625	1140915
582945.3125	1140878
582961.8125	1140843
582978.3125	1140807
582994.5	1140773
583010.8125	1140737
583026.6875	1140703
583042.8125	1140669
583058.8125	1140635
583074.625	1140600
583089.375	1140566
583104	1140532
583118.375	1140498
583133.1875	1140465
583148.125	1140431
583162.625	1140397
583177.375	1140364
583192.125	1140330
583206.875	1140297
583221.375	1140263
583236	1140230
583250.8125	1140198
583265.8125	1140166
583281.125	1140133
583296.6875	1140099
583312.625	1140066
583328.8125	1140033
583345.875	1140000
583363.125	1139967
583380.625	1139932
583397.625	1139897
583415.125	1139863
583432.125	1139829
583449.625	1139794
583467.1875	1139758
583484.625	1139722
583502.6875	1139686
583520.875	1139649
583539.3125	1139613
583557.875	1139577
583577.125	1139540
583596.375	1139503
583616.125	1139466
583636.1875	1139429
583656.6875	1139392
583677.625	1139356
583698.8125	1139320
583720.375	1139284
583742.6875	1139248
583764.875	1139214
583787.6875	1139180
583811.125	1139145
583834.625	1139110
583858.1875	1139077
583882	1139042
583905.6875	1139008
583929.6875	1138973
583953.375	1138939
583976.875	1138904
584000.5	1138870
584024.3125	1138835
584047.875	1138800
584071.3125	1138765
584095	1138731
584118.875	1138696
584142.375	1138662
584165.8125	1138628
584189.625	1138593
584213.125	1138559
584236.5	1138526
584259.625	1138492
584282.8125	1138459
584305.375	1138425
584328.375	1138393
584351.3125	1138361
584374.125	1138329
584397.375	1138298
584421.125	1138267
584444.875	1138237
584469	1138207
584493.375	1138178
584518.625	1138149
584543.875	1138119
584569.625	1138089
584595.8125	1138060
584622.375	1138029
584649.1875	1137999
584676.625	1137969
584704.8125	1137939
584733.3125	1137907
584761.875	1137876
584790.8125	1137845
584820.3125	1137814
584850.3125	1137785
584880.1875	1137756
584910.5	1137727
584941.375	1137698
584972.625	1137669
585004	1137640
585035.375	1137611
585067.125	1137583
585099.125	1137554
585131.375	1137526
585163.125	1137499
585195.625	1137471
585228.375	1137444
